Ligand_name,Ligand_SMILES
L66,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C
L67,O=CC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3
L68,CC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C=CC=C1
L69,CCP(C1=CC=CC=C1)C2=CC=CC=C2
L70,CC(C)P(C1=CC=CC=C1)C2=CC=CC=C2
L71,C[N+]1(CCCC1)CC(C=C2)=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4.[Br-]
L72,ClC(C=C1)=CC=C1P(C2=CC=C(Cl)C=C2)C3=CC=C(Cl)C=C3
L73,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=C(C4=C(P(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)C=CC7=CC=CC=C74)C8=CC=CC=C8C=C3)=C1
L74,C1(P(C2=CC=CC=C2)CCCCCP(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1
L75,C1(P(C2=CC=CC=C2)/C=C/P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1
L76,CC(C1=CC=C[C-]1P(C2=CC=CC=C2)C3=CC=CC=C3)N(C)C.[CH-]4C=CC=C4.[Fe+2]
L77,C1(P(C2=CC=CS2)C3=CC=CS3)=CC=CS1
L78,CP(C)C
L79,C1(P(CCCCCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1
L80,CC(C)(C)P([C-]1C=CC=C1)C(C)(C)C.CC(C)(C)P([C-]2C=CC=C2)C(C)(C)C.[Fe+2]
L81,BrC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3
L82,ClP([C-]1C=CC=C1)Cl.ClP([C-]2C=CC=C2)Cl.[Fe+2]
L83,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC(C=CC4=C5C(C=C6)=CC=C4)=C5C6=C1
L84,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1
L85,CN(C(C=C1)=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)C
L86,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=C(C4=C(P(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)C=CC7=C4OCO7)C8=C(OCO8)C=C3)=C1
L87,C12CC(CC(C3)(PC45CC6CC(CC(C5)C6)C4)C2)CC3C1
