Entry,Ligand_SMILES,Substrate_SMILES,Yield
110,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1CCCCC1)C2CCCCC2,18
111,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,85
112,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,57
113,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,31
114,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,96
115,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(C1=CC=CC=C1)=O,46
116,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=CC=C1)C(F)(F)F,88
117,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1CCCCC1)C2=CC=CC=C2,58
118,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C1CCCC2=CC=CC=C21,26
119,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C1CCC2=CC=CC=C2C1,93
120,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1CCCCC1)C2CCCCC2,4
121,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,84
122,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,54
123,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,34
124,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,96
125,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,CC(C1=CC=CC=C1)=O,48
126,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1=CC=CC=C1)C(F)(F)F,88
127,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1CCCCC1)C2=CC=CC=C2,53
128,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C1CCCC2=CC=CC=C21,22
129,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C1CCC2=CC=CC=C2C1,98
130,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,O=C(C1CCCCC1)C2CCCCC2,3
131,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,92
132,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,68
