Ligand_name,Ligand_No,L_mordred_PC_0,L_mordred_PC_1,L_mordred_PC_2,L_mordred_PC_3,L_mordred_PC_4,L_mordred_PC_5,L_mordred_PC_6,Substrate_name,Substrate_No,S_mordred_PC_0,S_mordred_PC_1,S_mordred_PC_2,S_mordred_PC_3,Yield
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,36
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,2
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,1
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,12
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,25
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,13
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,10
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,51
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,21
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,96
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.501306039994873,-0.8651471402491591,-8.803171508705573,-4.440352989183518,3.590351567665939,-2.4415516152078407,-0.7818007283142399,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,11
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,13
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,95
"2,2'-bis(diphenylphosphino)biphenyl",L6,-19.50130603999487,-0.8651471402491591,-8.80317150870557,-4.440352989183516,3.590351567665939,-2.4415516152078407,-0.7818007283142399,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,3
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,31
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,6
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,4
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,17
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,14
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,73
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,5
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,7
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,36
"1,8-bis(diphenylphosphino)naphthalene",L7,-19.11364432749949,-0.35678949288199446,-8.386330270177982,-2.1077070205626307,4.975027944512848,-4.496262913755318,2.315305267812152,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,99
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,99
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,85
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,99
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,86
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.739459680994077,0.6616791472121598,-7.035746493611478,-2.624882718321893,3.768817528728336,-0.521453361189643,-1.973968542326945,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,91
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,98
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,39
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,94
bis[2-(diphenylphosphino)phenyl]_ether,L8,-19.73945968099408,0.6616791472121577,-7.035746493611478,-2.624882718321892,3.768817528728336,-0.521453361189643,-1.973968542326945,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,18
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,96
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,99
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,88
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,99
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,70
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,90
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,96
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,19
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,96
xantphos,L9,-32.25573122899414,-0.7113282801616196,-1.493336013354583,-2.8465968295829605,1.7215047488813666,0.8875838417205548,1.3661337020104483,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,27
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,3
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,2
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,1
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,3
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349973,-12.435195342132866,37.98874937268637,-9.89182976499136,15.797447377466673,6.092509682821904,-8.143246151165041,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,4
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,76
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,2
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,1
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,0
"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,4.036134398349972,-12.435195342132863,37.988749372686364,-9.891829764991364,15.797447377466673,6.092509682821904,-8.143246151165041,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
